,,,Yellow Indicate-No Billing,,,,,,,,,,,,,,,,
"Sr. 
No",Date,Sales Exe.,Dealer Name & Address,"Rec. 
Adhar Card","Rec. 
Pan Card","Security
 Chq","Security Chq
No.","Fill Dealer 
form","Order Put/
Not","Rec in Office
(Entry By Acc.)",Put in File,Comp (Y/),Date,Follow up,,,Security Chq Pending,,
138,15-1-2022,Rajesh Sir,S.D. Ent. Kund,Y,Y,Y,000003'000004,Y,Y,,,Only Form Aya Hai ,,,,,,,
139,17-1-2022,Ravikant Sir,Jaisons Tech. Hisar Inactive,Y,Y,chq book apply,,Y,Y,Y (28-2-21),Y,,,,,,,,
140,17-1-2022,Rajesh Sir,J.P. Transfermer Kosli,,,Y,064926'064927,Y,Y,,,,,,,,,,
141,19-1-2022,Ravikant Sir,S.K. Elc. Works Hisar,Y,Y,Biiling nhi,,Y,Y,Y (28-2-21),Y,id pan card office n h,,,,,,,
142,19-1-2022,Ravinder Sir,Deep Trading Farmana,Y,Y,Y,000014'000015 (phy.),Y,Y,Y (28-2-21),Y,,,,,,,,
143,20-1-2022,Arun Sir,R.B. Elc. Satnali,Y,,Y,"071345,071346 (phy.)",Y,Y,Y (20-9-22),Y,,,,,,,,
144,21-1-2022,Deepak Sir,Aryan Trading Company Rohtak,Y,Y,Y,"027402,027401 (phy.)",Y,Y,Y (28-2-21),Y,,,,,,,,
145,24-1-2022,Anwar Sir,Gautam Elc. Julana,Y,Y,Y,000999'001000 (phy.),Y,Y,Y (28-2-21),Y,,,,,,,,
146,27-1-2022,Anwar Sir,Delhi Elc. Works Jind,Y,Y,Y,227266'227267,Y,Y,,,Only Form Aya Hai ,,party closed,,,,,
147,27-1-2022,Anwar Sir,Harsh Battery House Kinana,,Y,Y,"056621,056622",Y,Y,,,Only Form Aya Hai ,,party closed,,,,,
148,27-1-2022,Chander Sir,Shri Shiv Auto Sirsa,Y,Y,Party Closed,Party Closed,Y,Y,Aagya,,,,,,,,,
149,27-1-2022,Anwar Sir,Shiv Elc. Store Jind Narnaund,Y,Y,Y,"094487,094488",Y,Y,,,Only Form Aya ai,,party closed,,,,,
150,28-1-2022,Ravikant Sir,Shiva Elc. Work Hisar,Y,Y,Biiling nhi,chq book apply,Y,Y,,,Only Form Aya Hai ,,,,,,,
151,2-2-2022,Anwar Sir,Bibipur Elc. Store Jind,Y,Y,Y,502573'502574,Y,Y,,,Only Form Aya Hai ,,party closed,,,,,
152,2-2-2022,Rambir Sir,Deepak Elc. Agroha,Y,Y,Y,696921,Y,Y,,,Next tym order Not put without chq,,,,,,,
153,2-2-2022,Amit Sir,Ramesh Elc. Bhiwani,Y,Y,Y,000001,Y,Y,Y (28-2-21),Y,,,,,,,,
154,4-2-2022,Rajesh Sir,Jai Ambay Ent. Rewari,,,Y,"793,121,793,120",Y,Y,,,Only Form Aya Hai,,,,,,,
155,4-2-2022,Arun Sir,Nirban Traders Mohindergarh,Y,kl 30/7,Y,045315'045316,Y,Y,Y (20-9-22),Y,Only Form Aya Hai & Pan card Pending h,,,,,,,
156,7-2-2022,Veerendra Sir,Vinayak Batt. Ent. Bharatpur,Y,,Cash Party,chq n degi prty,Y,Y,Y (28-2-21),Y,chq n h,,,,,,,
157,7-2-2022,Veerendra Sir,Shri Bala Ji Elc. Narayanpur,Y,Y,Y,687364'687365,Y,Y,Y (28-2-21),Y,,,,,,,,
158,7-2-2022,Ravikant Sir,Power Line Hisar,Y,Y,Y,105877 (phy.),Y,Y,Y (28-2-21),Y,,,,,,,,
159,8-2-2022,Veerendra Sir,Ram Batt. Bharatpur,Y,Y,Cash Party,chq n degi prty,Y,Y,Y (28-2-21),Y,chq n h,,,,,,,
160,8-2-2022,Veerendra Sir,Raj Battery House Bharatpur,Y,Y,Y,"000072,000073,000074",Y,Y,bhijvaduga,,,,,,,,,
161,10-2-2022,Veerendra Sir,Deepak Motors Alwar,Y,Y,Y,"000002,000003",Y,Y,Y (28-2-21),Y,,,,,,,,
162,10-2-2022,Veerendra Sir,Shri Gurukirpa Batt. House Jaipur,Y,Y,Y,000005,Y,Y,bhijvaduga,,,,,,,,,
163,12-2-2022,Ravi Sir,Meharwal Traders Nagal Talheri,Y,Y,Y,"002779,002780 (phy.)",Y,Y,Y (28-2-22),Y,,,,,,,,
164,14-2-2022,Ravikant Sir,Chahat Elc. Barwali Dhani Hisar,Y,Y,Y,083696 (phy.),Y,Y,Y (28-2-21),Y,,,,,,,,
165,15-2-2022,Anwar Sir,Jai Durga Elcs. Pilukhera ,Y,Y,Y,"026506,026507",Y,Y,,,Only Form Aya Hai & Pan card Pending h,,party closed,,,,,
166,15-2-2022,Veerendra Sir,Dhawan Auto Elcs. Alwar,Y,Y,Y,215130'215131,Y,Y,bhijvaduga,,,,,,,,,
167,18-2-2022,Sunny Sir,Aalampuriya Elcs. Tosham,Y,Y,Y,"063492,063493 (phy.)",Y,Y,Y (28-2-21),Y,,,,,,,,
168,19-2-2022,Veerendra Sir,Sahu Inv. & Battery Kathumar,Y,Y,Y,104183,Y,Y,Y (28-2-21),Y,,,,,,,,
