,,,Yellow Indicate-No Billing,,,,,,,,,,,,,,,,
"Sr. 
No",Date,Sales Exe.,Dealer Name & Address,"Rec. 
Adhar Card","Rec. 
Pan Card","Security
 Chq","Security Chq
No.","Fill Dealer 
form","Order Put/
Not","Rec in Office
(Entry By Acc.)",Put in File,Comp (Y/),Date,Follow up,,,Security Chq Pending,,
360,31-1-2025,Jagat Sir,Shiva Enterprises Palwal,Y,Y,Y,"019092,019093",N,,Ok recived (24-2-25),,,,,,,,,
361,3-2-2025,Kaushal Sir,Ashoka Industries Patna (C & F),Y,Y,Y,"005722,005723,005724, 005725",Y,,ok recived (18-3-25),,,,,,,,,
362,10-2-2025,Nagendra Kumar ,Bablu Ent Raniganj Gaya Bihar,Y,Y,Y,"463855, 463890, 463891",Y,,ok recived (18-3-25),,,,,,,,,
363,11-2-2025,Sameer sir,Shanu Electronic Farrukhabad,Y,Y,Y,"122483,   122482,  122480",,,chq rec 14-6-25,,,,,,,,,
364,13-2-2025,Prince Sir,Chunni Lal Auto Electric Works Amroha,Y,Y,N,,Y,,,,,,,,,,,
365,13-2-2025,Nagendra Kumar ,M/S Yashoda Enterprises Buxar,Y,Y,Y,755404,Y,,(ok recived (18-3-25) sec chq rec 23-6-25,,,,,,,,,
366,4-3-2025,Arun Sir,Akash Enterprises Mahendergarh,Y,Y,Y,"774557,774558",Y,,ok recived  (11-3-25),,,,,,,,,
367,7-3-2025,Nagendra Kumar ,Shri Balajee Electronics Rafiganj,Y,Y,Y,"354038,354039",Y,,ok recived (18-3-25) sec chq rec 23-6-25), ,,,,,,,,
368,7-3-2025,Ravinder Sir,Pahwa Battery Service Hanumangarh,Y,Y,Y,"000016,000017",N,,,,,,,,,,,
369,8-3-2025,Prince Sir,Vakeel Battery Parts Najibabad Bijnor,Y,Y,N,,Y,,,,,,,,,,,
370,10-3-2025,Manoj Sir Meerut,Moradabad Electronics Moradabad,Y,Y,N,,Y,,ok recived (25-4-25),,,,,,,,,
371,11-3-2025,Nagendra Kumar ,Champaran Battery Bettiah,Y,Y,Y,"837476,  837477",Y,,ok recived (18-3-25)sec chq rec 23-6-25,,,,,,,,,
372,26-2-2025,Sanjay Sir,"M/S Pandey Battery House & Electricals
Etah",,,,,,,,,,,,,,,,
373,14-2-2025,Sanjay Sir,Pappu Enterprises Kasganj,,,,,,,,,,,,,,,,
374,27-3-2025,Prem Sir,Shree Jee Agency Gurugram,Y,Y,y,12,Y,,ok recived (7-4-25),,,,,,,,,
376,16-4-2025,Manoj Sir Meerut,M/S Sabri Kadri Batteries Shahjahanpur,Y,Y,Y,"035512,035513,035514",Y,,ok recived(25-4-25),,,,,,,,,
377,24-4-2025,Manoj Sir Meerut,Laa Garden Electronics System Saharanpur,Y,Y,Y,"760066, 760067",Y,,ok recived (6-7-25),,,,,,,,,
378,30-4-2025,Sameer Sir,Shri Shankar Battery Etawah,Y,Y,Y,"260830,  260829, 260828",Y,,ok recived (12-5-25) Chq rec 30-6-25,,,,,,,,,
379,9-5-2025,Salman Sir,M/S Shubh Battery House Mathura,Y,Y,Y,"000336,000337,000338",Y,,ok recived (2-8-25),,,,,,,,,
380,13-5-2025,Nagendra Kumar ,Gupta Corporation Motihari,Y,Y,Y,789775,Y,,,,,,,,,,,
381,21-5-2025,Nagendra Kumar ,New Gupta Battery House Ghorashan Champaran,Y,Y,Y,"794057,794058",Y,,,,,,,,,,,
382,23-5-2025,Manoj Sir Meerut,Taj Enterprises Pvt Ltd Pilibhit,Y,Y,Y,"269479,    269480, 269481",Y,,ok recived (6-7-25),,,,,,,,,
383,11-6-2025,Sachin Sir,Sagar Battery House Thanabhawan,Y,Y,Y,"006731 ,  006730  ,006729",Y,,,,,,,,,,,
384,23-6-25,Salman Sir,Jhilmil Elect And Inv Battery House Mainpuri,Y,Y,Y,"134579,  134580, 134581",Y,,ok recived (30-8-25),,,,,,,,,
385,25-6-25,sameer sir,Dev Battery Etawah,Y,Y,N,,N,,,,,,,,,,,
386,11/7/2025,Manoj Sir Meerut,vaishno Home Appliances,Y,Y,Y,"844835,  844836,  844837",Y,,,,,,,,,,,
387,30-7-25,Nagendra Kumar ,Puja Auto Electric And Battery,Y,Y,N,,Y,,,,,,,,,,,
388,20-8-25,Manoj Sir Meerut,M/S Shri Ram Traders,Y,Y,Y,"439130, 439131,439132",Y,,Ok recived (19-9-25),,,,,,,,,
389,9-3-2025,Arun Sir,Mukesh Traders,Y,Y,Y,"000190,  000191",Y,,,,,,,,,,,
390,9-1-2025,Sameer Sir,T.T Electronic Ghatampur,Y,Y,,,N,,,,,,,,,,,
391,9-12-2025,Ravinder Sir,Kajla Solar,Y,Y,Y,"056312,",Y,,,,,,,,,,,
392,13-9-25,Manoj Sir Meerut,B Asha Solar Solution,Y,Y,Y,"000029,  000030,   000028",Y,,,,,,,,,,,
393,23-9-25,Ravinder Sir,Guru kirpa  Traders,Y,Y,Y,"000017 , 000016",N,,,,,,,,,,,
394,26-9-25,Sachin Sir,M/S Shiv Enterprises Shamli,y,y,y,"000543, 000542, 000541",y,,,,,,,,,,,
395,1-10-25,Kaushal Sir,Laj Enterprises Tohana,Y,Y,N,,N,,,,,,,,,,,
396,10-11-2025,Jagat Sir,Saad Elect Work Mewat,Y,Y,N,,N,,,,,,,,,,,
397,27-1-2026,Nagender Sir,Aryan Power Solution,Y,Y,Y,"231156 , 231155",N,,,,,,,,,,,
398,29-1-2026,Sameer Sir,New Danish Battery & Parts,Y,Y,N,,N,,,,,,,,,,,
399,3-11-2025,Sameer Sir,TT Electronic Ghatampur,Y,N,N,,Y,,,,,,,,,,,
400,29-1-2026,Manish Sir,Solwave Renewable Energy Solution,Y,Y,N,,Y,,,,,,,,,,,
401,11-2-2026,Mohd Yamin Khan,M/S Prince Auto Parts ,Y,Y,N,,Y,,,,,,,,,,,
402,17-2-2026,Manoj Sir Meerut,Guruvansh Traders ,Y,Y,Y,,Y,,,,,,,,,,,
403,3-2-2026,Chander Sir ,Thakur Electronics Enterprises Malout,Y,Y,Y,,Y,,,,,,,,,,,
404,10-3-2026,Mohd Yamin Khan,M/S Venus Auto Electric Works ,N,N,Y,,Y,,,,,,,,,,,
405,20-3-2026,Nagender Sir,Maa Bhawani Automobile  Lakhisarai ,Y,Y,Y,,Y ,,,,,,,,,,,
406,1-4-2026,Neeraj Sir ,Darsh Enterprises Hapur ,Y,Y,Y,,Y,,,,,,,,,,,
407,4-4-2026,Prince Sir,Sambhal Battery House ,Y,Y,Y,,Y,,,,,,,,,,,
408,5-4-2026,Mohd Yamin Sir ,M/S Chand Electronics ,Y,Y,Y,,Y,,,,,,,,,,,
409,6-4-2026,Mohd Yamin Sir ,Anaya Enterprises Aligarh,Y,Y,Y,,Y,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Sandeep Gohana,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Gaurav Kanina,,,,,,,,,,,,,,,,
,,,Rotex,,,,,,,,,,,,,,,,
,,,Aalampuria Tosham ,,,,,,,,,,,,,,,,
,,,S K Elc. Bawal,,,,,,,,,,,,,,,,
,,,Sahil Battery Akoda,,,,,,,,,,,,,,,,
,,,Allied Hansi,,,,,,,,,,,,,,,,
,,,Mahadev Pundri,,,,,,,,,,,,,,,,
,,,Aman Sohna,,,,,,,,,,,,,,,,
,,,Shree Shyam Kosli,,,,,,,,,,,,,,,,
,,,Shri Balaji Jhohjhu,,,,,,,,,,,,,,,,
,,,Sombir Dighla,,,,,,,,,,,,,,,,
,,,Kunj Chhahar,,,,,,,,,,,,,,,,
,,,Kamboj Abubshahr,,,,,,,,,,,,,,,,
,,,Shree ShyamJi Battry dharuhera,,,,,,,,,,,,,,,,
,,,Jai Mata Di Trading Dadri,,,,,,,,,,,,,,,,
,,,Jass Auto Ratera,,,,,,,,,,,,,,,,
,,,S.S bhiwani,,,,,,,,,,,,,,,,
,,,Dev Elc. Bawal,,,,,,,,,,,,,,,,
,,,Kartik Rewari,,,,,,,,,,,,,,,,
,,,Kanak Elc. Gudyani,,,,,,,,,,,,,,,,
,,,S K Bawal Kosli,,,,,,,,,,,,,,,,
,,,Vikas Traders Berli,,,,,,,,,,,,,,,,
,,,Preet R O Rania,,,,,,,,,,,,,,,,
,,,Shree Shyam Battery House Rewari,,,,,,,,,,,,,,,,
,,,Pankaj Power Kohri,,,,,,,,,,,,,,,,
,,,M K Satnali,,,,,,,,,,,,,,,,
,,,Shree Shyam Powr Kosli,,,,,,,,,,,,,,,,
,,,Komal Elc Jind,,,,,,,,,,,,,,,,
,,,Shree Ganesh Elc. Uchana,,,,,,,,,,,,,,,,
,,,Aggarwal Auto Kama,,,,,,,,,,,,,,,,
,,,Saini Agencies Tijara,,,,,,,,,,,,,,,,
,,,Sharma Tyare & Parts Kathumar,,,,,,,,,,,,,,,,
,,,Taneja Elc. Bharatpur,,,,,,,,,,,,,,,,
,,,Dhawan Elc. Chilkana,,,,,,,,,,,,,,,,
,,,Suraj Alwar,,,,,,,,,,,,,,,,
,,,Mayank Battery Alwar,,,,,,,,,,,,,,,,
,,,Khan Motor,,,,,,,,,,,,,,,,
,,,Shree Gayatri rajgarh,,,,,,,,,,,,,,,,
,,,Mosam Battery Alwar,,,,,,,,,,,,,,,,
,,,Matheshwari Elc. Thanagaji,,,,,,,,,,,,,,,,
,,,Shree Gurukripa Rajgarh,,,,,,,,,,,,,,,,
,,,Gaurav Behror,,,,,,,,,,,,,,,,
,,,Arshad,,,,,,,,,,,,,,,,
,,,Ram Batteries Modinagar,,,,,,,,,,,,,,,,
,,,Yash Ent. Daurala,,,,,,,,,,,,,,,,
,,,S.K Light Bijnor,,,,,,,,,,,,,,,,
,,,Yash Sharma Muzz,,,,,,,,,,,,,,,,
,,,D.K Kankarkhera,,,,,,,,,,,,,,,,
,,,Krishna Elc. Modinagar,,,,,,,,,,,,,,,,
,,,S.K Batteries Rohta,,,,,,,,,,,,,,,,
,,,Tiger Bijnor,,,,,,,,,,,,,,,,
,,,Bansal Ass.Ramraj,,,,,,,,,,,,,,,,
,,,Veer Trading Com. Muzz,,,,,,,,,,,,,,,,
,,,Kanika Elc. Saharanpur,,,,,,,,,,,,,,,,
,,,Anupam Elc. Saharanpur,,,,,,,,,,,,,,,,
,,,Aqdas Elc. Muzz,,,,,,,,,,,,,,,,
,,,Jagdamba Elc. Muzz,,,,,,,,,,,,,,,,
,,,A.K Elc. Pisawa,,,,,,,,,,,,,,,,
,,,Parkash Elc. Baleni,,,,,,,,,,,,,,,,
,,,S.L Elc. Saharanpur,,,,,,,,,,,,,,,,
,,,Harsh Battery Kankarkhera,,,,,,,,,,,,,,,,
,,,NationaL Battery House Meerut,,,,,,,,,,,,,,,,
,,,National Battery Gulawthi,,,,,,,,,,,,,,,,
,,,Ankur Elc. Rohta,,,,,,,,,,,,,,,,
,,,Universal Elc. Kilaparikchitgarh,,,,,,,,,,,,,,,,
,,,Chaudhary Machinery Store Lallaukheri,,,,,,,,,,,,,,,,
,,,B-Max Battery Hapur,,,,,,,,,,,,,,,,
,,,Shamshi Battery Bijnor,,,,,,,,,,,,,,,,
,,,Jai Durga Siyana,,,,,,,,,,,,,,,,
,,,Diamond Battery Meerut,,,,,,,,,,,,,,,,
,,,Shiv Shnakar Budhana,,,,,,,,,,,,,,,,
,,,Shakumbari Battery Chhutmalpur,,,,,,,,,,,,,,,,
,,,Sahil Battery Jhangirabad,,,,,,,,,,,,,,,,
,,,Shri Sai Battery Chhatari,,,,,,,,,,,,,,,,
,,,Shakumbari Battery Saharanpur,,,,,,,,,,,,,,,,
,,,Swastik Motor Chhapar,,,,,,,,,,,,,,,,
,,,Virk Elc. Pundri,,,,,,,,,,,,,,,,
